,起飞机场坐标,降落机场坐标,飞行路径
62,"(113.29, 23.4)","(114.73, 25.83)","[[(113.29, 23.4), (114.33, 23.65), (114.88, 25.81), (114.73, 25.83)]]"
63,"(113.92, 22.31)","(121.32, 31.2)","[[(113.92, 22.31), (119.55, 26.22), (120.81, 29.6), (121.22, 30.25), (121.32, 31.2)]]"
64,"(123.48, 41.53)","(111.87, 40.82)","[[(123.48, 41.53), (121.18, 41.58), (120.43, 41.54), (118.25, 42.18), (113.5, 42.1), (113.15, 41.84), (111.87, 40.82)]]"
65,"(121.36, 37.4)","(117.32, 31.75)","[[(121.36, 37.4), (120.92, 37.21), (120.63, 36.93), (120.29, 35.98), (118.71, 33.47), (118.58, 32.67), (118.81, 31.99), (118.1, 31.72), (117.32, 31.75)]]"
66,"(120.43, 30.2)","(118.12, 24.52)","[[(120.43, 30.2), (120.2, 30.12), (119.66, 29.76), (119.39, 25.74), (118.12, 24.52)], [(120.43, 30.2), (119.66, 29.76), (119.39, 25.74), (118.12, 24.52)]]"
67,"(106.6, 29.73)","(90.93, 29.3)","[[(106.6, 29.73), (107.05, 30.45), (106.19, 30.81), (91.0, 29.3), (90.93, 29.3)], [(106.6, 29.73), (107.05, 30.45), (91.0, 29.3), (90.93, 29.3)]]"
68,"(102.74, 24.96)","(105.41, 28.87)","[[(102.74, 24.96), (103.29, 26.5), (103.75, 27.32), (105.11, 27.63), (105.51, 28.0), (105.42, 28.17), (105.41, 28.87)]]"
69,"(109.03, 29.94)","(102.05, 36.53)","[[(109.03, 29.94), (109.6, 30.29), (109.93, 33.88), (108.85, 34.22), (108.71, 34.76), (107.69, 35.51), (107.6, 35.8), (104.11, 36.53), (103.28, 36.94), (102.91, 36.82), (102.05, 36.53)]]"
70,"(108.6, 34.43)","(120.94, 32.08)","[[(108.6, 34.43), (109.7, 33.74), (110.86, 33.54), (112.55, 32.92), (113.64, 32.35), (115.73, 32.88), (117.3, 31.78), (119.04, 31.65), (120.28, 32.2), (120.73, 32.17), (120.98, 32.1), (120.94, 32.08)]]"
71,"(122.21, 37.2)","(118.12, 24.52)","[[(122.21, 37.2), (122.23, 37.18), (123.35, 36.83), (122.63, 31.66), (122.45, 31.45), (121.83, 28.0), (120.63, 27.75), (119.55, 26.22), (119.39, 25.74), (118.12, 24.52)], [(122.21, 37.2), (122.23, 37.18), (123.35, 36.83), (122.45, 31.45), (121.83, 28.0), (120.63, 27.75), (119.55, 26.22), (119.39, 25.74), (118.12, 24.52)]]"
72,"(109.98, 40.55)","(112.66, 37.77)","[[(109.98, 40.55), (109.97, 40.2), (111.5, 37.86), (111.72, 37.83), (112.66, 37.77)]]"
73,"(102.74, 24.96)","(90.93, 29.3)","[[(102.74, 24.96), (102.52, 25.08), (96.42, 30.98), (91.0, 29.3), (90.93, 29.3)], [(102.74, 24.96), (102.52, 25.08), (100.24, 24.99), (100.72, 26.67), (96.42, 30.98), (91.0, 29.3), (90.93, 29.3)]]"
74,"(113.35, 22.01)","(119.66, 25.92)","[[(113.35, 22.01), (113.61, 22.25), (114.53, 22.76), (116.36, 22.95), (119.39, 25.74), (119.66, 25.92)]]"
75,"(108.6, 34.43)","(113.29, 23.4)","[[(108.6, 34.43), (108.31, 33.32), (107.02, 26.93), (109.03, 26.43), (109.61, 25.77), (112.48, 23.07), (113.29, 23.4)], [(108.6, 34.43), (108.31, 33.32), (109.03, 26.43), (109.61, 25.77), (112.48, 23.07), (113.29, 23.4)], [(108.6, 34.43), (108.31, 33.32), (109.61, 25.77), (112.48, 23.07), (113.29, 23.4)]]"
76,"(117.21, 36.83)","(103.94, 30.58)","[[(117.21, 36.83), (115.4, 36.56), (109.93, 33.88), (109.58, 33.76), (108.31, 33.32), (107.93, 33.26), (107.5, 32.81), (104.75, 31.1), (103.94, 30.58)]]"
77,"(106.6, 29.73)","(118.12, 24.52)","[[(106.6, 29.73), (106.92, 28.77), (107.02, 26.93), (109.03, 26.43), (113.42, 24.19), (116.44, 24.16), (117.5, 24.14), (118.12, 24.52)], [(106.6, 29.73), (106.92, 28.77), (109.03, 26.43), (113.42, 24.19), (116.44, 24.16), (117.5, 24.14), (118.12, 24.52)], [(106.6, 29.73), (106.92, 28.77), (113.42, 24.19), (116.44, 24.16), (117.5, 24.14), (118.12, 24.52)]]"
78,"(118.12, 24.52)","(123.48, 41.53)","[[(118.12, 24.52), (119.39, 25.74), (119.55, 26.22), (120.63, 27.75), (121.83, 28.0), (122.45, 31.45), (120.29, 35.98), (120.63, 36.93), (120.8, 38.01), (120.99, 38.25), (121.46, 38.41), (122.16, 38.69), (123.57, 40.58), (123.48, 41.53)], [(118.12, 24.52), (119.39, 25.74), (119.55, 26.22), (120.63, 27.75), (121.83, 28.0), (122.45, 31.45), (120.29, 35.98), (120.63, 36.93), (120.8, 38.01), (121.46, 38.41), (122.16, 38.69), (123.57, 40.58), (123.48, 41.53)], [(118.12, 24.52), (119.39, 25.74), (119.55, 26.22), (120.63, 27.75), (121.83, 28.0), (122.45, 31.45), (120.63, 36.93), (120.8, 38.01), (120.99, 38.25), (121.46, 38.41), (122.16, 38.69), (123.57, 40.58), (123.48, 41.53)]]"
79,"(100.96, 21.95)","(103.94, 30.58)","[[(100.96, 21.95), (100.97, 22.72), (102.52, 25.08), (104.29, 28.68), (104.3, 29.93), (103.94, 30.58)]]"
80,"(113.29, 23.4)","(100.23, 26.71)","[[(113.29, 23.4), (113.33, 22.62), (113.47, 22.22), (110.33, 21.13), (106.65, 23.89), (102.52, 25.08), (100.72, 26.67), (100.23, 26.71)], [(113.29, 23.4), (113.33, 22.62), (113.47, 22.22), (110.33, 21.13), (106.65, 23.89), (102.52, 25.08), (100.24, 24.99), (100.72, 26.67), (100.23, 26.71)], [(113.29, 23.4), (113.33, 22.62), (110.33, 21.13), (106.65, 23.89), (102.52, 25.08), (100.72, 26.67), (100.23, 26.71)]]"
81,"(112.1, 32.06)","(109.46, 21.93)","[[(112.1, 32.06), (112.28, 32.08), (112.14, 31.4), (115.81, 40.01), (111.59, 27.17), (109.15, 23.76), (109.43, 21.58), (109.46, 21.93)]]"
82,"(112.66, 37.77)","(113.55, 22.14)","[[(112.66, 37.77), (112.23, 37.1), (111.95, 36.66), (112.88, 35.79), (114.43, 31.32), (113.52, 27.65), (113.95, 24.11), (113.19, 23.02), (113.48, 22.88), (113.64, 22.28), (113.55, 22.14)]]"
83,"(113.8, 22.64)","(120.94, 32.08)","[[(113.8, 22.64), (113.81, 22.62), (113.95, 22.9), (113.85, 23.09), (114.85, 24.28), (120.63, 27.75), (120.81, 29.6), (121.34, 31.12), (121.33, 31.28), (120.96, 31.75), (120.98, 32.1), (120.94, 32.08)]]"
84,"(118.88, 34.54)","(108.17, 22.61)","[[(118.88, 34.54), (118.89, 34.59), (118.71, 33.47), (118.58, 32.67), (118.81, 31.99), (118.1, 31.72), (117.58, 31.61), (116.84, 31.48), (115.27, 30.44), (114.13, 30.66), (108.15, 22.59), (108.17, 22.61)]]"
85,"(120.35, 36.26)","(103.94, 30.58)","[[(120.35, 36.26), (120.02, 36.32), (116.0, 36.79), (109.93, 33.88), (109.58, 33.76), (108.31, 33.32), (107.93, 33.26), (107.5, 32.81), (104.75, 31.1), (103.94, 30.58)]]"
86,"(110.46, 19.92)","(120.21, 30.26)","[[(110.46, 19.92), (110.5, 20.5), (110.59, 21.37), (112.48, 23.07), (113.19, 23.02), (114.88, 25.81), (115.65, 27.76), (115.92, 28.43), (117.3, 28.92), (117.81, 29.35), (118.25, 29.74), (120.21, 30.26)]]"
87,"(106.81, 26.55)","(117.21, 36.83)","[[(106.81, 26.55), (108.37, 26.58), (109.45, 28.58), (109.66, 28.65), (109.93, 33.88), (115.4, 36.56), (117.21, 36.83)]]"
